f_property_type,f_neighbourhood_cleansed,price,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_availability_365,n_days_since_last,d_,d_backyard,d_baking_sheet,d_barbecue_utensils,d_bathtub,d_beachfront,d_bed_linens,d_bidet,d_bikes,d_board_games,d_bread_maker,d_building_staff,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_cleaning_products,d_cooking_basics,d_dining_table,d_dishes_and_silverware,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_ev_charger,d_extra_pillows_and_blankets,d_fire_extinguisher,d_fire_pit,d_first_aid_kit,d_freezer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_hot_water_kettle,d_keypad,d_lake_access,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_mini_fridge,d_mosquito_net,d_outdoor_dining_area,d_outdoor_furniture,d_outdoor_shower,d_outlet_covers,d_pool,d_private_entrance,d_private_hot_tub,d_roomdarkening_shades,d_safe,d_security_cameras_on_property,d_shared_pool,d_single_level_home,d_smoke_alarm,d_toaster,d_trash_compactor,d_waterfront,d_window_ac_unit,d_window_guards,d_wine_glasses,d_have_kitchen,d_have_stove,d_have_oven,d_fridge,d_coffee_machine,d_have_gril,d_free_parking_on_premises,d_free_parking_on_street,d_paid_parking_on_premises,d_paid_parking_off_premises,d_wifi,d_have_cable,d_have_tv,d_have_sound_system,d_shampoo_conditioner,d_bodygel,d_have_washer,d_have_dryer,d_have_iron,d_have_heating,d_have_air_condfan,d_balcony,d_have_garden,d_have_breakfast,d_have_workoffice,d_have_fitnessgym,d_family_friendly,d_have_fireplace,d_have_clothing_storage,d_host_is_superhost,d_host_identity_verified,local_price,id,neighbourhood_cleansed,room_type,property_type,ln_price,flag_n_bedrooms,flag_review_scores_rating,flag_reviews_per_month,flag_days_since_last,f_bathroom,f_bedrooms,f_beds,f_review_scores_rating,f_number_of_reviews,f_minimum_nights
apartment,Sisli,30.3834808259587,2,1,0,1,4.82,0,0.8,3,364,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,412,39912334,Sisli,Entire home/apt,apartment,3.413899066837277,0,1,1,1,1,1,1,2,1,1
loft,Uskudar,42.99410029498525,2,1,1,1,4.82,0,0.8,1,163,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,583,39946771,Uskudar,Entire home/apt,loft,3.761062903838243,0,1,1,1,1,2,1,2,1,1
apartment,Esenyurt,37.97935103244838,2,1,1,1,4.82,0,0.8,5,365,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,515,39957663,Esenyurt,Entire home/apt,apartment,3.6370426181514866,0,1,1,1,1,2,1,2,1,1
apartment,Esenyurt,33.48082595870206,3,1,1,4,3,2,0.12,7,67,475,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,454,39959262,Esenyurt,Entire home/apt,apartment,3.5109729155290985,0,0,0,0,1,2,2,1,2,1
loft,Besiktas,60.47197640117994,3,1,1,2,4.5,2,0.08,2,362,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,820,39986450,Besiktas,Entire home/apt,loft,4.102180057746049,0,0,0,0,1,2,1,2,2,1
apartment,Beyoglu,20.42772861356932,3,1,1,3,4.79,52,2.15,7,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,277,40002785,Beyoglu,Entire home/apt,apartment,3.016893223675089,0,0,0,0,1,2,2,2,2,1
apartment,Beyoglu,22.86135693215339,2,1,0,2,4.86,57,2.23,7,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,310,40005701,Beyoglu,Entire home/apt,apartment,3.1294480149669424,0,0,0,0,1,1,1,2,3,1
apartment,Fatih,44.24778761061947,2,1,1,1,4.92,139,5.53,1,163,9,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,600,40058268,Fatih,Entire home/apt,apartment,3.789805372703897,0,0,0,0,1,2,1,2,3,1
loft,Adalar,58.99705014749262,4,1,2,3,4.89,9,0.37,4,87,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,800,40128626,Adalar,Entire home/apt,loft,4.077487445155677,0,0,0,0,1,2,2,2,2,1
apartment,Kadikoy,51.62241887905604,5,2,1,4,5,8,2.12,1,0,24,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,700,40167780,Kadikoy,Entire home/apt,apartment,3.943956052531155,0,0,0,0,2,2,2,2,2,1
apartment,Avcilar,45.79646017699115,3,1,1,1,5,16,0.62,5,80,40,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,621,40188784,Avcilar,Entire home/apt,apartment,3.824206799421229,0,0,0,0,1,2,1,2,2,1
condo,Umraniye,73.67256637168141,6,2.5,3,4,5,12,0.5,13,361,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,999,40199019,Umraniye,Entire home/apt,condo,4.299630496136304,0,0,0,0,2,3,2,2,2,2
apartment,Fatih,47.27138643067846,5,1.5,1,3,3,2,0.66,1,361,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,641,40214663,Fatih,Entire home/apt,apartment,3.8559051744084205,0,0,0,0,2,2,2,1,2,1
apartment,Beyoglu,67.10914454277285,3,1,1,1,5,3,0.21,5,177,270,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,910,40246869,Beyoglu,Entire home/apt,apartment,4.206320316998646,0,0,0,0,1,2,1,2,2,1
apartment,Kagithane,22.787610619469024,3,1,1,1,4.82,0,0.8,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,309,40344658,Kagithane,Entire home/apt,apartment,3.126216994385496,0,1,1,1,1,2,1,2,1,1
apartment,Maltepe,25.81120943952802,4,1,1,2,5,4,0.44,30,348,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,350,40356518,Maltepe,Entire home/apt,apartment,3.2508088719712096,0,0,0,0,1,2,1,2,2,3
condo,Umraniye,49.41002949852507,2,1,1,1,5,2,0.08,13,362,663,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,670,40368629,Umraniye,Entire home/apt,condo,3.9001534298727623,0,0,0,0,1,2,1,2,2,2
apartment,Beyoglu,20.42772861356932,4,1.5,2,2,3.67,3,0.12,5,328,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,277,40386756,Beyoglu,Entire home/apt,apartment,3.016893223675089,0,0,0,0,2,2,1,1,2,1
loft,Esenyurt,21.238938053097343,4,1,1,2,4.73,11,0.45,30,0,24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,288,40400210,Esenyurt,Entire home/apt,loft,3.0558361976236963,0,0,0,0,1,2,1,2,2,3
apartment,Kadikoy,28.98230088495575,2,1,1,1,4.58,26,1.86,1,353,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,393,40411029,Kadikoy,Entire home/apt,apartment,3.366685329357012,0,0,0,0,1,2,1,2,2,1
loft,Besiktas,55.309734513274336,2,1,2,1,0,1,0.04,1,87,741,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,750,40415201,Besiktas,Entire home/apt,loft,4.012948924018106,0,0,0,0,1,2,1,1,2,1
apartment,Kadikoy,28.98230088495575,2,1,1,1,4.71,14,0.89,1,360,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,393,40415216,Kadikoy,Entire home/apt,apartment,3.366685329357012,0,0,0,0,1,2,1,2,2,1
apartment,Kadikoy,35.32448377581121,2,1,1,1,4.4,20,1.4,1,350,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,479,40423499,Kadikoy,Entire home/apt,apartment,3.5645763148986656,0,0,0,0,1,2,1,2,2,1
apartment,Avcilar,28.318584070796458,4,1,2,2,4.67,3,0.12,20,273,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,384,40464890,Avcilar,Entire home/apt,apartment,3.343518270075477,0,0,0,0,1,2,1,2,2,2
apartment,Zeytinburnu,26.622418879056045,4,1,1,1,4.62,21,0.84,1,146,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,361,40517171,Zeytinburnu,Entire home/apt,apartment,3.281753675820631,0,0,0,0,1,2,1,2,2,1
apartment,Beyoglu,30.3834808259587,4,1,1,2,4.5,2,0.08,3,365,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,412,40575824,Beyoglu,Entire home/apt,apartment,3.413899066837277,0,0,0,0,1,2,1,2,2,1
condo,Basaksehir,62.68436578171091,5,1,2,2,4.82,0,0.8,7,365,37,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,850,40648448,Basaksehir,Entire home/apt,condo,4.138112066972113,0,1,1,1,1,2,1,2,1,1
condo,Basaksehir,51.62241887905604,5,1,1,1,4,2,0.08,7,180,694,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,700,40651990,Basaksehir,Entire home/apt,condo,3.943956052531155,0,0,0,0,1,2,1,2,2,1
loft,Basaksehir,54.12979351032448,4,1,1,1,4.82,0,0.8,7,365,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,734,40667438,Basaksehir,Entire home/apt,loft,3.9913847461022662,0,1,1,1,1,2,1,2,1,1
apartment,Beyoglu,24.483775811209437,2,1,1,1,4.56,16,0.71,1,361,25,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,332,40667919,Beyoglu,Entire home/apt,apartment,3.198010686404239,0,0,0,0,1,2,1,2,2,1
condo,Basaksehir,47.935103244837755,3,1,1,1,5,1,0.07,7,180,443,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,650,40690002,Basaksehir,Entire home/apt,condo,3.8698480803774333,0,0,0,0,1,2,1,2,2,1
condo,Basaksehir,58.99705014749262,5,0,2,2,4.82,0,0.8,7,365,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,800,40727817,Basaksehir,Entire home/apt,condo,4.077487445155677,0,1,1,1,1,2,1,2,1,1
apartment,Sisli,37.97935103244838,2,1,1,2,4.82,0,0.8,1,365,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,515,40739243,Sisli,Entire home/apt,apartment,3.6370426181514866,0,1,1,1,1,2,1,2,1,1
condo,Basaksehir,58.99705014749262,5,1,2,2,5,1,0.06,7,180,481,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,800,40765607,Basaksehir,Entire home/apt,condo,4.077487445155677,0,0,0,0,1,2,1,2,2,1
apartment,Beyoglu,30.457227138643066,5,1,1,2,1.33,3,0.18,1,361,148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,413,40794958,Beyoglu,Entire home/apt,apartment,3.4163233104487833,0,0,0,0,1,2,1,1,2,1
apartment,Kadikoy,58.99705014749262,2,1,1,1,4.82,0,0.8,1,75,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,800,40852037,Kadikoy,Entire home/apt,apartment,4.077487445155677,0,1,1,1,1,2,1,2,1,1
apartment,Beyoglu,42.10914454277286,2,1.5,1,1,4.9,10,0.59,7,321,11,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,571,40929936,Beyoglu,Entire home/apt,apartment,3.7402649271437607,0,0,0,0,2,2,1,2,2,1
apartment,Beyoglu,65.11799410029498,2,1.5,1,3,4.38,8,0.46,7,346,14,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,883,40931797,Beyoglu,Entire home/apt,apartment,4.176200918091711,0,0,0,0,2,2,2,2,2,1
apartment,Beyoglu,60.176991150442475,2,1.5,1,2,5,17,0.71,7,343,40,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,816,40932265,Beyoglu,Entire home/apt,apartment,4.097290072451857,0,0,0,0,2,2,1,2,2,1
apartment,Beyoglu,42.10914454277286,2,1,1,2,4.83,12,0.49,7,302,49,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,571,40932708,Beyoglu,Entire home/apt,apartment,3.7402649271437607,0,0,0,0,1,2,1,2,2,1
apartment,Beyoglu,42.10914454277286,2,1.5,1,3,5,4,0.38,7,283,25,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,571,40933561,Beyoglu,Entire home/apt,apartment,3.7402649271437607,0,0,0,0,2,2,2,2,2,1
condo,Eyup,29.646017699115042,3,1,1,2,4.65,17,0.73,3,169,41,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,402,40956516,Eyup,Entire home/apt,condo,3.3893278061067713,0,0,0,0,1,2,1,2,2,1
loft,Fatih,31.342182890855455,2,1,1,1,4.96,26,1.56,3,340,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,425,40958930,Fatih,Entire home/apt,loft,3.4449648864121674,0,0,0,0,1,2,1,2,2,1
loft,Beyoglu,37.46312684365782,4,1,1,2,4.63,41,1.68,2,150,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,508,40986854,Beyoglu,Entire home/apt,loft,3.6233571650662326,0,0,0,0,1,2,1,2,2,1
condo,Sisli,60.176991150442475,3,1,1,2,5,3,0.21,4,16,72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,816,40993728,Sisli,Entire home/apt,condo,4.097290072451857,0,0,0,0,1,2,1,2,2,1
condo,Bagcilar,38.49557522123894,5,2,2,3,4.63,16,0.95,3,354,40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,522,41026619,Bagcilar,Entire home/apt,condo,3.6505433053703893,0,0,0,0,2,2,2,2,2,1
